Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D226,WS2812C-2020,BF@WS2812C-2020,72.499999,11.028857,30,top
D227,WS2812C-2020,BF@WS2812C-2020,68.303148,8.890455,24,top
D228,WS2812C-2020,BF@WS2812C-2020,63.905764,7.202457,18,top
D229,WS2812C-2020,BF@WS2812C-2020,59.356026,5.983358,12,top
D230,WS2812C-2020,BF@WS2812C-2020,54.70378,5.246515,6,top
D231,WS2812C-2020,BF@WS2812C-2020,50,5,0,top
D232,WS2812C-2020,BF@WS2812C-2020,45.29622,5.246515,354,top
D233,WS2812C-2020,BF@WS2812C-2020,40.643974,5.983358,348,top
D234,WS2812C-2020,BF@WS2812C-2020,36.094236,7.202457,342,top
D235,WS2812C-2020,BF@WS2812C-2020,31.696852,8.890455,336,top
D236,WS2812C-2020,BF@WS2812C-2020,27.5,11.028857,330,top
D237,WS2812C-2020,BF@WS2812C-2020,23.549664,13.594236,324,top
D238,WS2812C-2020,BF@WS2812C-2020,19.889123,16.558483,318,top
D239,WS2812C-2020,BF@WS2812C-2020,16.558483,19.889123,312,top
D240,WS2812C-2020,BF@WS2812C-2020,13.594236,23.549664,306,top
D241,WS2812C-2020,BF@WS2812C-2020,11.028857,27.5,300,top
D242,WS2812C-2020,BF@WS2812C-2020,8.890455,31.696852,294,top
D243,WS2812C-2020,BF@WS2812C-2020,7.202457,36.094236,288,top
D244,WS2812C-2020,BF@WS2812C-2020,5.983358,40.643974,282,top
D245,WS2812C-2020,BF@WS2812C-2020,5.246515,45.29622,276,top
D246,WS2812C-2020,BF@WS2812C-2020,5,50,270,top
D247,WS2812C-2020,BF@WS2812C-2020,5.246515,54.70378,264,top
D248,WS2812C-2020,BF@WS2812C-2020,5.983358,59.356026,258,top
D249,WS2812C-2020,BF@WS2812C-2020,7.202457,63.905764,252,top
D250,WS2812C-2020,BF@WS2812C-2020,8.890455,68.303148,246,top
D251,WS2812C-2020,BF@WS2812C-2020,11.028857,72.5,240,top
D252,WS2812C-2020,BF@WS2812C-2020,13.594236,76.450336,234,top
D253,WS2812C-2020,BF@WS2812C-2020,16.558483,80.110877,228,top
D254,WS2812C-2020,BF@WS2812C-2020,19.889123,83.441517,222,top
D255,WS2812C-2020,BF@WS2812C-2020,23.549664,86.405764,216,top
D256,WS2812C-2020,BF@WS2812C-2020,27.5,88.971143,210,top
D257,WS2812C-2020,BF@WS2812C-2020,31.696852,91.109545,204,top
D258,WS2812C-2020,BF@WS2812C-2020,36.094236,92.797543,198,top
D259,WS2812C-2020,BF@WS2812C-2020,40.643974,94.016642,192,top
D260,WS2812C-2020,BF@WS2812C-2020,45.29622,94.753485,186,top
D301,WS2812C-2020,BF@WS2812C-2020,50,91,180,top
D302,WS2812C-2020,BF@WS2812C-2020,54.285666,90.775397,174,top
D303,WS2812C-2020,BF@WS2812C-2020,58.524379,90.104051,168,top
D304,WS2812C-2020,BF@WS2812C-2020,62.669696,88.993317,162,top
D305,WS2812C-2020,BF@WS2812C-2020,66.676202,87.455363,156,top
D306,WS2812C-2020,BF@WS2812C-2020,70.499999,85.507041,150,top
D307,WS2812C-2020,BF@WS2812C-2020,74.099195,83.169696,144,top
